Level of education,Country,Year,percentage,income,lead_data,diff,status
pre-primary,Albania,2014,83.35004809758694,UM,86.41825286248547,3,Improving
pre-primary,Albania,2015,86.41825286248547,UM,87.68226679401464,1,Improving
pre-primary,Albania,2016,87.68226679401464,UM,83.82008320687127,-4,Worsening
pre-primary,Albania,2017,83.82008320687127,UM,80.49873329690527,-3,Worsening
pre-primary,Albania,2018,80.49873329690527,UM,75.75498766877466,-5,Worsening
pre-primary,Antigua and Barbuda,2017,72.65406162464986,H,70.2535983550377,-2,Worsening
pre-primary,Argentina,2014,73.24920470484695,H,74.69315685768551,1,Improving
pre-primary,Argentina,2015,74.69315685768551,UM,75.33119137497528,1,Improving
pre-primary,Argentina,2016,75.33119137497528,UM,76.0847263508038,1,Improving
pre-primary,Argentina,2017,76.0847263508038,H,77.20120786530634,1,Improving
pre-primary,Armenia,2015,36.44081917653874,LM,34.73277376537185,-2,Worsening
pre-primary,Armenia,2016,34.73277376537185,LM,37.21286607640394,2,Improving
pre-primary,Armenia,2017,37.21286607640394,UM,38.021292047157715,1,Improving
pre-primary,Armenia,2018,38.021292047157715,UM,39.336625144372015,1,Improving
pre-primary,Australia,2014,113.6254280222508,H,124.22572659180761,11,Improving
pre-primary,Australia,2015,124.22572659180761,H,166.9930459318858,43,Improving
pre-primary,Australia,2016,166.9930459318858,H,164.5539935346036,-2,Worsening
pre-primary,Australia,2017,164.5539935346036,H,165.6936141683893,1,Improving
pre-primary,Austria,2014,101.01944139159436,H,102.5313968461011,2,Improving
pre-primary,Austria,2015,102.5313968461011,H,104.2231050965299,2,Improving
pre-primary,Austria,2016,104.2231050965299,H,104.38374623157603,0,Stagnant
pre-primary,Austria,2017,104.38374623157603,H,103.29883700383917,-1,Worsening
pre-primary,Azerbaijan,2014,23.105541836063452,UM,23.875794649123165,1,Improving
pre-primary,Azerbaijan,2015,23.875794649123165,UM,22.736868540216445,-1,Worsening
pre-primary,Azerbaijan,2016,22.736868540216445,UM,35.98000058025396,13,Improving
pre-primary,Azerbaijan,2017,35.98000058025396,UM,39.71232619463071,4,Improving
pre-primary,Azerbaijan,2018,39.71232619463071,UM,41.13872355647413,1,Improving
pre-primary,Bahrain,2014,57.0535853772848,H,56.001620007087524,-1,Worsening
pre-primary,Bahrain,2015,56.001620007087524,H,55.257383417583675,-1,Worsening
pre-primary,Bahrain,2016,55.257383417583675,H,54.44444444444444,-1,Worsening
pre-primary,Bahrain,2017,54.44444444444444,H,53.66258592065044,-1,Worsening
pre-primary,Bahrain,2018,53.66258592065044,H,51.56472795497186,-2,Worsening
pre-primary,Bangladesh,2015,32.357130078311,LM,35.515053300355035,3,Improving
pre-primary,Bangladesh,2016,35.515053300355035,LM,41.73958018609463,6,Improving
pre-primary,Bangladesh,2017,41.73958018609463,LM,40.81816001032094,-1,Worsening
pre-primary,Barbados,2014,88.21528907289664,H,90.86102719033232,3,Improving
pre-primary,Barbados,2015,90.86102719033232,H,88.44664704971349,-2,Worsening
pre-primary,Barbados,2016,88.44664704971349,H,89.4510739856802,1,Improving
pre-primary,Barbados,2017,89.4510739856802,H,86.82879059898808,-3,Worsening
pre-primary,Barbados,2018,86.82879059898808,H,85.74762460410068,-1,Worsening
pre-primary,Belarus,2014,102.24996012372591,UM,100.42555776620141,-2,Worsening
pre-primary,Belarus,2015,100.42555776620141,UM,97.76588854285892,-3,Worsening
pre-primary,Belarus,2016,97.76588854285892,UM,98.1975150713556,0,Stagnant
pre-primary,Belarus,2017,98.1975150713556,UM,98.85490351423236,1,Improving
pre-primary,Belgium,2014,118.24408563691176,H,117.01422991708732,-1,Worsening
pre-primary,Belgium,2015,117.01422991708732,H,116.09558934977011,-1,Worsening
pre-primary,Belgium,2016,116.09558934977011,H,115.14531624087039,-1,Worsening
pre-primary,Belgium,2017,115.14531624087039,H,114.03566116571523,-1,Worsening
pre-primary,Belize,2014,50.2545893072491,UM,49.916860658463584,-0,Stagnant
pre-primary,Belize,2015,49.916860658463584,UM,50.46704206690957,1,Improving
pre-primary,Belize,2016,50.46704206690957,UM,48.85091337654684,-2,Worsening
pre-primary,Belize,2017,48.85091337654684,UM,47.43126371498645,-1,Worsening
pre-primary,Belize,2018,47.43126371498645,UM,47.67212279472645,0,Stagnant
pre-primary,Benin,2014,20.77989805655165,L,23.925850237158137,3,Improving
pre-primary,Benin,2015,23.925850237158137,L,24.793322022060075,1,Improving
pre-primary,Benin,2018,25.450337420958473,L,24.431392730037672,-1,Worsening
pre-primary,Bermuda,2014,60.03039513677811,H,68.75,9,Improving
pre-primary,Bhutan,2014,18.68844949996183,LM,22.844075811015077,4,Improving
pre-primary,Bhutan,2015,22.844075811015077,LM,28.033522190745984,5,Improving
pre-primary,Bhutan,2016,28.033522190745984,LM,28.9791350227836,1,Improving
pre-primary,Bhutan,2017,28.9791350227836,LM,34.442373156103095,5,Improving
pre-primary,Botswana,2014,20.005205283362613,UM,21.447867405016588,1,Improving
pre-primary,Brazil,2014,90.28508598703272,UM,90.66879859501944,0,Stagnant
pre-primary,Brazil,2015,90.66879859501944,UM,96.15143219603391,5,Improving
pre-primary,Brazil,2016,96.15143219603391,UM,96.74836400831569,1,Improving
pre-primary,Brazil,2017,96.74836400831569,UM,96.52282256757582,-0,Stagnant
pre-primary,British Virgin Islands,2015,132.61205564142196,H,128.4313725490196,-4,Worsening
pre-primary,British Virgin Islands,2016,128.4313725490196,H,132.4697754749568,4,Improving
pre-primary,British Virgin Islands,2017,132.4697754749568,H,95.09981851179673,-37,Worsening
pre-primary,Brunei Darussalam,2014,70.73132039553698,H,69.3338198498749,-1,Worsening
pre-primary,Brunei Darussalam,2015,69.3338198498749,H,68.42105263157895,-1,Worsening
pre-primary,Brunei Darussalam,2016,68.42105263157895,H,67.02702702702703,-1,Worsening
pre-primary,Brunei Darussalam,2017,67.02702702702703,H,64.7993271971219,-2,Worsening
pre-primary,Brunei Darussalam,2018,64.7993271971219,H,63.34687706699423,-1,Worsening
pre-primary,Bulgaria,2014,79.70017455590923,UM,79.74962791466844,0,Stagnant
pre-primary,Bulgaria,2015,79.74962791466844,UM,77.20578448597135,-3,Worsening
pre-primary,Bulgaria,2016,77.20578448597135,UM,76.96318197721082,-0,Stagnant
pre-primary,Bulgaria,2017,76.96318197721082,UM,79.35310960779172,2,Improving
