income,Year,Country,population,enrol,Teacher,dropout,student_to_1_teacher
H,2014,Barbados,7581,3706,1534,0.5111462867695554,2
H,2014,Iceland,14302,13996,2892,0.021395609005733465,5
H,2014,Bermuda,2235,1905,416,0.1476510067114094,5
H,2014,Bermuda,5331,4093,822,0.23222659913712249,5
H,2014,Bermuda,3096,2188,406,0.29328165374677,5
H,2014,Sweden,461569,441084,79978,0.04438123010860781,6
H,2014,Bermuda,4181,4100,610,0.019373355656541497,7
H,2014,Austria,532127,421224.8167,58765.56079,0.20841299783698247,7
H,2014,Uruguay,263127,159772,23190,0.3927951141464008,7
H,2014,Luxembourg,36335,35435,4338,0.024769505985963947,8
L,2014,Comoros,47139,24744,3846,0.475084325081143,6
L,2014,Benin,643363,231250,30039,0.6405606166347769,8
L,2014,Comoros,114967,70234,8150,0.389094261831656,9
L,2014,Benin,1594627,896763,90439,0.43763463179790635,10
L,2014,Benin,951264,665513,60400,0.30039084838698826,11
L,2014,Comoros,67828,45490,4304,0.32933301881228993,11
L,2014,Mali,1024847,313860,28974,0.6937494084482855,11
L,2014,Liberia,305266,139823,10163,0.5419634024097018,14
L,2014,Liberia,577743,222857,14974,0.6142627431228072,15
L,2014,Liberia,272477,83034,4811,0.6952623524187362,17
LM,2014,Georgia,289102,281739,38865,0.025468519761191553,7
LM,2014,Georgia,151151,140323,19203,0.07163697229922396,7
LM,2014,Armenia,240197,113090,15925,0.5291781329492042,7
LM,2014,Georgia,285999,120923,17884,0.5771908293385641,7
LM,2014,Uzbekistan,2647317,2455791,274289,0.07234721040207878,9
LM,2014,Guatemala,1077545,396461,38063,0.6320701223614791,10
LM,2014,Samoa,11230,3787,330,0.6627782724844168,11
LM,2014,Uzbekistan,4437189,4082709,374549,0.0798884158416511,11
LM,2014,Bhutan,30662,20735,1964,0.32375578892440154,11
LM,2014,Ukraine,2595860,2146028,194775,0.1732882358832911,11
UM,2014,Cuba,736733,301773,65621,0.5903902770745982,5
UM,2014,North Macedonia,101148,83898,10412,0.1705421758215684,8
UM,2014,Serbia,280094,277802,33300,0.008182967146743594,8
UM,2014,Dominica,2693,2031,256,0.24582250278499815,8
UM,2014,Kazakhstan,1325523,763266,81639,0.42417747560774127,9
UM,2014,Cuba,419253,413784,46566,0.013044629376533978,9
UM,2014,Cuba,856039,830375,93503,0.029979942502619622,9
UM,2014,Serbia,581018,548158,63360,0.05655590704590908,9
UM,2014,Cuba,436786,416591,46937,0.046235456264623866,9
UM,2014,Jordan,346763,215273,22994,0.37919270510406244,9
H,2015,Antigua and Barbuda,3068,2601,701,0.15221642764015644,4
H,2015,Iceland,14252,13880,2911,0.026101599775470108,5
H,2015,Sweden,471887,442926,78603,0.061372743898433314,6
H,2015,Bermuda,2198,1873,311,0.14786169244767972,6
H,2015,Liechtenstein,1595,1563,254,0.02006269592476489,6
H,2015,Bermuda,5250,4040,638,0.23047619047619047,6
H,2015,Croatia,197256,181555,28218,0.0795970718254451,6
H,2015,Croatia,365120,360205,51214,0.013461327782646802,7
H,2015,Bermuda,3052,2167,327,0.2899737876802097,7
H,2015,Barbados,7543,3882,569,0.48535065623757123,7
L,2015,Benin,1637791,963787,93366,0.41153236279842786,10
L,2015,Mali,1059643,313670,27241,0.7039852101132174,12
L,2015,Liberia,315427,142069,8710,0.5495978467284031,16
L,2015,Liberia,598446,226832,12334,0.6209649659284213,18
L,2015,Chad,907111,155832,8499,0.8282106599964062,18
L,2015,Mali,2266253,945484,49262,0.5827985666207612,19
L,2015,Rwanda,1500153,567838,29558,0.6214799423792107,19
L,2015,Sierra Leone,521062,289465,14368,0.4444710994085157,20
L,2015,Senegal,2231206,1136477,55786,0.49064452139336306,20
L,2015,Sierra Leone,1150404,449320,21874,0.6094241675098487,21
LM,2015,Armenia,126029,45926,7442,0.6355918082346127,6
LM,2015,Armenia,227560,105865,15674,0.534782035507119,7
LM,2015,Uzbekistan,2584823,2405119,270022,0.0695227487530094,9
LM,2015,Bhutan,30223,20642,2082,0.3170102240015882,10
LM,2015,Tonga,4920,2254,214,0.541869918699187,11
LM,2015,Uzbekistan,4316340,3964383,370507,0.0815406107952571,11
LM,2015,Samoa,11428,4131,340,0.6385194259712985,12
LM,2015,Bhutan,88458,74320,6119,0.1598272626557236,12
LM,2015,Bhutan,58235,53678,4037,0.07825191036318366,13
LM,2015,Cameroon,1438416,637915,47344,0.5565156394255903,13
UM,2015,Grenada,9659,9236,2166,0.043793353349207996,4
UM,2015,Tuvalu,1556,1289,209,0.17159383033419023,6
UM,2015,Georgia,279681,277874,38343,0.006460932276414915,7
UM,2015,Georgia,145525,138407,18935,0.04891255797972857,7
UM,2015,Georgia,274591,127633,18003,0.5351886988284393,7
UM,2015,North Macedonia,99689,84920,10401,0.14815074882885776,8
UM,2015,Serbia,572515,553448,65494,0.03330393090137376,8
UM,2015,Cuba,749574,745733,83798,0.005124243903870732,9
UM,2015,Cuba,408695,407549,43203,0.002804047027734619,9
UM,2015,Cuba,842829,825055,91289,0.021088500751635268,9
H,2016,Sweden,479952,451539,81282,0.0591996699669967,6
H,2016,United Arab Emirates,183824,162723,25707,0.11478914613978589,6
H,2016,British Virgin Islands,2203,2034,273,0.076713572401271,7
H,2016,Malta,30035,28776,3991,0.041917762610288,7
H,2016,Barbados,7544,3901,541,0.4829003181336161,7
H,2016,Austria,516596,431124.9548,58464.98619,0.16545045877242565,7
H,2016,Uruguay,259698,162427,22535,0.37455428998298024,7
H,2016,Cyprus,26803,26483,3294,0.011938962056486214,8
H,2016,Cyprus,56206,55711,7000,0.008806888944240828,8
H,2016,Brunei Darussalam,35012,31499,3913,0.10033702730492403,8
L,2016,Benin,1681837,992999,90341,0.40957476854177904,11
L,2016,Mali,1099984,328742,25000,0.7011392892987535,13
L,2016,Chad,941004,156946,9048,0.8332143115225865,17
L,2016,Mali,2358013,1013780,52033,0.5700702243795942,19
L,2016,Rwanda,1535538,572324,30805,0.6272811223167385,19
L,2016,Nepal,1116027,977365,47086,0.12424609798866873,21
L,2016,Sierra Leone,533298,316402,15122,0.4067069443350622,21
L,2016,Liberia,732142,655049,30434,0.10529787937312707,22
L,2016,Sierra Leone,1177472,487826,22129,0.5857005516904011,22
L,2016,Madagascar,2133597,608384,26005,0.7148552421099205,23
LM,2016,Armenia,128075,44484,7602,0.6526722623462815,6
LM,2016,Georgia,140870,137453,18368,0.02425640661602896,7
LM,2016,Armenia,214036,109330,15276,0.48919807882786076,7
LM,2016,Georgia,263764,136709,18712,0.4816995495973673,7
LM,2016,Bhutan,29794,19658,2454,0.3402027253809492,8
LM,2016,Uzbekistan,2545337,2410170,274330,0.053103773684977665,9
LM,2016,Uzbekistan,4220804,3908744,374585,0.0739337813364468,10
LM,2016,Guatemala,1112937,407394,41361,0.6339469350017117,10
LM,2016,Bhutan,87167,74393,6515,0.14654628471784048,11
LM,2016,Honduras,628664,250962,23014,0.6008010638433249,11
